"","Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor","Date"
"114",2022,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nou. Milers d'euros","--",2022-01-01
"115",2022,1,7,"Horta-Guinardó",42,"la Clota","Nou. Milers d'euros","--",2022-01-01
"116",2022,1,7,"Horta-Guinardó",43,"Horta","Nou. Milers d'euros","245.1",2022-01-01
"117",2022,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nou. Milers d'euros","--",2022-01-01
"118",2022,1,8,"Nou Barris",45,"Porta","Nou. Milers d'euros","--",2022-01-01
"119",2022,1,8,"Nou Barris",46,"el Turó de la Peira","Nou. Milers d'euros","--",2022-01-01
"120",2022,1,8,"Nou Barris",47,"Can Peguera","Nou. Milers d'euros","--",2022-01-01
"121",2022,1,8,"Nou Barris",48,"la Guineueta","Nou. Milers d'euros","--",2022-01-01
"122",2022,1,8,"Nou Barris",49,"Canyelles","Nou. Milers d'euros","--",2022-01-01
"123",2022,1,8,"Nou Barris",50,"les Roquetes","Nou. Milers d'euros","--",2022-01-01
"124",2022,1,8,"Nou Barris",51,"Verdun","Nou. Milers d'euros","--",2022-01-01
"125",2022,1,8,"Nou Barris",52,"la Prosperitat","Nou. Milers d'euros","--",2022-01-01
"126",2022,1,8,"Nou Barris",53,"la Trinitat Nova","Nou. Milers d'euros","--",2022-01-01
"127",2022,1,8,"Nou Barris",54,"Torre Baró","Nou. Milers d'euros","--",2022-01-01
"128",2022,1,8,"Nou Barris",55,"Ciutat Meridiana","Nou. Milers d'euros","--",2022-01-01
"129",2022,1,8,"Nou Barris",56,"Vallbona","Nou. Milers d'euros","--",2022-01-01
"130",2022,1,9,"Sant Andreu",57,"la Trinitat Vella","Nou. Milers d'euros","--",2022-01-01
"131",2022,1,9,"Sant Andreu",58,"Baró de Viver","Nou. Milers d'euros","--",2022-01-01
"132",2022,1,9,"Sant Andreu",59,"el Bon Pastor","Nou. Milers d'euros","--",2022-01-01
"133",2022,1,9,"Sant Andreu",60,"Sant Andreu","Nou. Milers d'euros","390.7",2022-01-01
"134",2022,1,9,"Sant Andreu",61,"la Sagrera","Nou. Milers d'euros","--",2022-01-01
"135",2022,1,9,"Sant Andreu",62,"el Congrés i els Indians","Nou. Milers d'euros","407.5",2022-01-01
"136",2022,1,9,"Sant Andreu",63,"Navas","Nou. Milers d'euros","--",2022-01-01
"137",2022,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Nou. Milers d'euros","--",2022-01-01
"138",2022,1,10,"Sant Martí",65,"el Clot","Nou. Milers d'euros","--",2022-01-01
"139",2022,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Nou. Milers d'euros","612.4",2022-01-01
"140",2022,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Nou. Milers d'euros","593.0",2022-01-01
"141",2022,1,10,"Sant Martí",68,"el Poblenou","Nou. Milers d'euros","466.0",2022-01-01
"142",2022,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Nou. Milers d'euros","--",2022-01-01
"143",2022,1,10,"Sant Martí",70,"el Besòs i el Maresme","Nou. Milers d'euros","405.4",2022-01-01
"144",2022,1,10,"Sant Martí",71,"Provençals del Poblenou","Nou. Milers d'euros","174.2",2022-01-01
"145",2022,1,10,"Sant Martí",72,"Sant Martí de Provençals","Nou. Milers d'euros","--",2022-01-01
"146",2022,1,10,"Sant Martí",73,"la Verneda i la Pau","Nou. Milers d'euros","--",2022-01-01
"147",2022,1,1,"Ciutat Vella",1,"el Raval","Usat. Milers d'euros","226.1",2022-01-01
"148",2022,1,1,"Ciutat Vella",2,"el Barri Gòtic","Usat. Milers d'euros","393.1",2022-01-01
"149",2022,1,1,"Ciutat Vella",3,"la Barceloneta","Usat. Milers d'euros","222.4",2022-01-01
"150",2022,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Usat. Milers d'euros","357.5",2022-01-01
"151",2022,1,2,"Eixample",5,"el Fort Pienc","Usat. Milers d'euros","334.1",2022-01-01
"152",2022,1,2,"Eixample",6,"la Sagrada Família","Usat. Milers d'euros","302.6",2022-01-01
"153",2022,1,2,"Eixample",7,"la Dreta de l'Eixample","Usat. Milers d'euros","705.3",2022-01-01
"154",2022,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Usat. Milers d'euros","464.6",2022-01-01
"155",2022,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Usat. Milers d'euros","333.5",2022-01-01
"156",2022,1,2,"Eixample",10,"Sant Antoni","Usat. Milers d'euros","374.1",2022-01-01
"157",2022,1,3,"Sants-Montjuïc",11,"el Poble Sec","Usat. Milers d'euros","256.6",2022-01-01
"158",2022,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Usat. Milers d'euros","--",2022-01-01
"159",2022,1,3,"Sants-Montjuïc",13,"la Marina de Port","Usat. Milers d'euros","233.8",2022-01-01
"160",2022,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Usat. Milers d'euros","245.4",2022-01-01
"161",2022,1,3,"Sants-Montjuïc",15,"Hostafrancs","Usat. Milers d'euros","241.3",2022-01-01
"162",2022,1,3,"Sants-Montjuïc",16,"la Bordeta","Usat. Milers d'euros","172.0",2022-01-01
"163",2022,1,3,"Sants-Montjuïc",17,"Sants - Badal","Usat. Milers d'euros","259.7",2022-01-01
"164",2022,1,3,"Sants-Montjuïc",18,"Sants","Usat. Milers d'euros","266.6",2022-01-01
"165",2022,1,4,"Les Corts",19,"les Corts","Usat. Milers d'euros","436.5",2022-01-01
"166",2022,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Usat. Milers d'euros","336.3",2022-01-01
"167",2022,1,4,"Les Corts",21,"Pedralbes","Usat. Milers d'euros","1144.1",2022-01-01
"168",2022,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Usat. Milers d'euros","353.8",2022-01-01
"169",2022,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Usat. Milers d'euros","743.1",2022-01-01
"170",2022,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Usat. Milers d'euros","889.9",2022-01-01
"171",2022,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Usat. Milers d'euros","743.3",2022-01-01
"172",2022,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Usat. Milers d'euros","693.7",2022-01-01
"173",2022,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Usat. Milers d'euros","496.4",2022-01-01
"174",2022,1,6,"Gràcia",28,"Vallcarca i els Penitents","Usat. Milers d'euros","298.6",2022-01-01
"175",2022,1,6,"Gràcia",29,"el Coll","Usat. Milers d'euros","196.2",2022-01-01
"176",2022,1,6,"Gràcia",30,"la Salut","Usat. Milers d'euros","286.0",2022-01-01
"177",2022,1,6,"Gràcia",31,"la Vila de Gràcia","Usat. Milers d'euros","388.2",2022-01-01
"178",2022,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Usat. Milers d'euros","330.3",2022-01-01
"179",2022,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Usat. Milers d'euros","279.9",2022-01-01
"180",2022,1,7,"Horta-Guinardó",34,"Can Baró","Usat. Milers d'euros","234.2",2022-01-01
"181",2022,1,7,"Horta-Guinardó",35,"el Guinardó","Usat. Milers d'euros","257.8",2022-01-01
"182",2022,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Usat. Milers d'euros","253.9",2022-01-01
"183",2022,1,7,"Horta-Guinardó",37,"el Carmel","Usat. Milers d'euros","149.3",2022-01-01
"184",2022,1,7,"Horta-Guinardó",38,"la Teixonera","Usat. Milers d'euros","282.1",2022-01-01
"185",2022,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Usat. Milers d'euros","137.0",2022-01-01
"186",2022,1,7,"Horta-Guinardó",40,"Montbau","Usat. Milers d'euros","165.8",2022-01-01
"187",2022,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Usat. Milers d'euros","287.3",2022-01-01
"188",2022,1,7,"Horta-Guinardó",42,"la Clota","Usat. Milers d'euros","--",2022-01-01
"189",2022,1,7,"Horta-Guinardó",43,"Horta","Usat. Milers d'euros","236.1",2022-01-01
"190",2022,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Usat. Milers d'euros","207.9",2022-01-01
"191",2022,1,8,"Nou Barris",45,"Porta","Usat. Milers d'euros","235.6",2022-01-01
"192",2022,1,8,"Nou Barris",46,"el Turó de la Peira","Usat. Milers d'euros","126.3",2022-01-01
"193",2022,1,8,"Nou Barris",47,"Can Peguera","Usat. Milers d'euros","--",2022-01-01
"194",2022,1,8,"Nou Barris",48,"la Guineueta","Usat. Milers d'euros","225.6",2022-01-01
"195",2022,1,8,"Nou Barris",49,"Canyelles","Usat. Milers d'euros","188.8",2022-01-01
"196",2022,1,8,"Nou Barris",50,"les Roquetes","Usat. Milers d'euros","127.6",2022-01-01
"197",2022,1,8,"Nou Barris",51,"Verdun","Usat. Milers d'euros","162.3",2022-01-01
"198",2022,1,8,"Nou Barris",52,"la Prosperitat","Usat. Milers d'euros","164.4",2022-01-01
"199",2022,1,8,"Nou Barris",53,"la Trinitat Nova","Usat. Milers d'euros","83.4",2022-01-01
"200",2022,1,8,"Nou Barris",54,"Torre Baró","Usat. Milers d'euros","--",2022-01-01
"201",2022,1,8,"Nou Barris",55,"Ciutat Meridiana","Usat. Milers d'euros","94.1",2022-01-01
"202",2022,1,8,"Nou Barris",56,"Vallbona","Usat. Milers d'euros","--",2022-01-01
"203",2022,1,9,"Sant Andreu",57,"la Trinitat Vella","Usat. Milers d'euros","108.3",2022-01-01
"204",2022,1,9,"Sant Andreu",58,"Baró de Viver","Usat. Milers d'euros","--",2022-01-01
"205",2022,1,9,"Sant Andreu",59,"el Bon Pastor","Usat. Milers d'euros","173.6",2022-01-01
"206",2022,1,9,"Sant Andreu",60,"Sant Andreu","Usat. Milers d'euros","258.0",2022-01-01
"207",2022,1,9,"Sant Andreu",61,"la Sagrera","Usat. Milers d'euros","249.5",2022-01-01
"208",2022,1,9,"Sant Andreu",62,"el Congrés i els Indians","Usat. Milers d'euros","288.8",2022-01-01
"209",2022,1,9,"Sant Andreu",63,"Navas","Usat. Milers d'euros","269.2",2022-01-01
"210",2022,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Usat. Milers d'euros","235.5",2022-01-01
"211",2022,1,10,"Sant Martí",65,"el Clot","Usat. Milers d'euros","425.1",2022-01-01
"212",2022,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Usat. Milers d'euros","335.9",2022-01-01
"213",2022,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Usat. Milers d'euros","446.6",2022-01-01
"214",2022,1,10,"Sant Martí",68,"el Poblenou","Usat. Milers d'euros","372.2",2022-01-01
"215",2022,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Usat. Milers d'euros","637.7",2022-01-01
"216",2022,1,10,"Sant Martí",70,"el Besòs i el Maresme","Usat. Milers d'euros","193.7",2022-01-01
"217",2022,1,10,"Sant Martí",71,"Provençals del Poblenou","Usat. Milers d'euros","274.3",2022-01-01
"218",2022,1,10,"Sant Martí",72,"Sant Martí de Provençals","Usat. Milers d'euros","202.9",2022-01-01
"219",2022,1,10,"Sant Martí",73,"la Verneda i la Pau","Usat. Milers d'euros","160.7",2022-01-01
"220",2022,1,1,"Ciutat Vella",1,"el Raval","Total. Euros/m2 construït","3203.0",2022-01-01
"221",2022,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Euros/m2 construït","4755.7",2022-01-01
"222",2022,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Euros/m2 construït","4489.8",2022-01-01
"223",2022,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Euros/m2 construït","4739.0",2022-01-01
"224",2022,1,2,"Eixample",5,"el Fort Pienc","Total. Euros/m2 construït","4175.4",2022-01-01
"225",2022,1,2,"Eixample",6,"la Sagrada Família","Total. Euros/m2 construït","3987.4",2022-01-01
"226",2022,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Euros/m2 construït","6321.1",2022-01-01
